,5010,true
depanku,15,true
kelelahan,15,true
adapun,15,true
genius,15,true
bin,15,true
sumur,15,true
ilmiah,15,true
terbang,15,true
bertepuk,15,true
tuan,15,true
drum,15,true
lereng,15,true
b,15,true
nafas,15,false
begitulah,15,true
kala,15,true
mewah,15,true
cerah,15,true
memanggil,15,true
terbakar,15,true
riau,14,false
mohammad,14,false
padri,14,false
palembang,14,false
bone,14,true
kristen,14,true
batak,14,true
smartphone,14,true
perempatan,14,false
eh,14,true
rena,14,false
ditangkap,14,true
diperkirakan,14,false
sultan,14,true
gedung,14,true
keluarganya,14,true
korban,14,true
beserta,14,true
perpustakaan,14,true
setahun,14,true
penguasa,14,true
kematian,14,true
wajahku,14,true
digunakan,14,true
dengannya,14,true
mengerahkan,14,true
berupa,14,true
ramah,14,true
konyol,14,true
menemui,14,true
putri,14,true
mengubah,14,true
kecewa,14,true
pidato,14,true
kehabisan,14,true
tepatnya,14,true
kehadiran,14,true
bosan,14,true
minum,14,true
menyelamatkan,14,true
gagal,14,true
gelisah,14,true
pendukung,14,true
berkumpul,14,true
sekadar,14,true
beras,14,true
puas,14,true
rela,14,true
aliran,14,true
profesi,14,true
bang,14,true
punggung,14,true
belasan,14,true
lurus,14,true
lembar,14,true
nyawa,14,true
jari,14,true
out,14,true
sekolah-sekolah,14,true
staf,14,true
nilai-nilai,14,true
unik,14,true
tulis,14,true
mengangguk-angguk,14,true
matematika,14,true
buku-buku,14,true
halus,14,true
demikianlah,14,true
berwajah,14,true
pelan-pelan,14,true
berulang-ulang,14,true
kilat,14,true
tirai,14,true
menjual,14,true
komunitas,14,true
seumpama,14,true
cemara,14,true
berserakan,14,true
dipakai,14,true
lapisan,14,true
memesona,14,true
tali,14,true
busuk,14,true
kuku-kuku,14,true
herriot,14,true
advertisement,14,true
lanjut,14,true
denganku,14,true
diberikan,14,true
panggilan,14,true
seumur,14,true
lemari,14,true
membangun,14,true
emas,14,true
angkat,14,true
tertangkap,14,false
sosial,14,true
biar,14,true
mesin,14,true
panik,14,true
sama-sama,14,true
makin,14,true
jenderal,13,true
hindu,13,true
buleleng,13,false
karangasem,13,false
banten,13,false
negara-negara,13,false
ipm,13,false
minangkabau,13,true
belle,13,false
handphone,13,false
hah,13,false
peringkat,13,false
daging,13,false
wakil,13,false
status,13,true
korupsi,13,false
benteng,13,false
tanaman,13,true
internasional,13,false
tangga,13,true
menyebar,13,true
membahas,13,true
hadapan,13,true
adat,13,true
terlebih,13,true
raut,13,true
menjalani,13,true
sekilas,13,true
tangis,13,true
besok,13,true
kakiku,13,true
dimulai,13,true
bikin,13,true
memulai,13,true
sahabatku,13,true
menghasilkan,13,true
agung,13,true
dadanya,13,true
to,13,true
bibirnya,13,true
juragan,13,true
bergabung,13,true
berharap,13,true
perjuangan,13,true
mengumpulkan,13,true
terpaksa,13,true
lorong,13,true
diduga,13,true
pandang,13,true
sehat,13,true
memecah,13,true
janji,13,true
pemilik,13,true
selembar,13,true
pahlawan,13,true
budi,13,true
menyambut,13,true
ketat,13,true
berantakan,13,true
jutaan,13,true
riuh,13,true
leher,13,true
kecepatan,13,true
ku,13,true
sifat,13,true
tenggelam,13,true
benci,13,true
sebatang,13,true
gugup,13,true
isyarat,13,true
kacau,13,true
pikiranku,13,true
lapar,13,true
kunci,13,true
kebenaran,13,true
hiburan,13,true
serta-merta,13,true
daun-daun,13,true
menderita,13,true
terhormat,13,true
bunga-bunga,13,true
terperangkap,13,true
mengikat,13,true
sebangku,13,true
menembus,13,true
tegang,13,true
menghitung,13,true
tambang,13,true
kopra,13,true
girang,13,true
pelintang,13,true
sandal,13,true
mengayuh,13,true
rimba,13,true
sempit,13,true
kehormatan,13,true
tenis,13,true
melamun,13,true
mencekam,13,true
kagum,13,true
pelepah,13,true
batu-batu,13,true
koreografi,13,true
lanun,13,true
drs,13,true
menyelinap,13,true
kanannya,13,true
mencuri,13,true
you,13,true
bagus,13,true
es,13,true
nya,13,true
gimana,13,true
beranak,13,true
sarangnya,13,false
rempah-rempah,12,false
penyerangan,12,false
april,12,false
butuh,12,true
meski,12,false
tanyaku,12,true
km,12,false
banjar,12,false
september,12,false
sarekat,12,false
jagung,12,false
industri,12,false
kondisi,12,false
menatapku,12,true
koran,12,false
sisa,12,true
perasaanku,12,true
menginginkan,12,true
proposal,12,true
mandi,12,true
datar,12,true
teringat,12,true
erat,12,true
nah,12,true
identitas,12,true
menyelesaikan,12,true
petani,12,true
c,12,true
istana,12,true
aroma,12,true
maupun,12,true
baik-baik,12,true
santai,12,true
adanya,12,true
memikirkan,12,true
bersalah,12,true
menanyakan,12,true
layaknya,12,true
kaku,12,true
bebas,12,true
menuntut,12,true
padamu,12,true
sempurna,12,true
lutut,12,true
hadirin,12,true
peringatan,12,true
lulus,12,true
mundur,12,true
secepat,12,true
mawar,12,true
deretan,12,true
anggun,12,true
berkeliling,12,true
menaikkan,12,true
